2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 116: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54571, Тип соединения: TCP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 117: Имя процесса: steam.exe, PID: 8548, Протокол: 0.0.0.0, Порт: 54065, Тип соединения: UDP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 118: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54570, Тип соединения: TCP
2024-03-09 03:37:42,867 - TeaMonitor Computer Network Activity -INFO - Соединение 119: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54558, Тип соединения: TCP
2024-03-09 03:37:42,872 - TeaMonitor Computer Network Activity -INFO - Соединение 120: Имя процесса: svchost.exe, PID: 13604, Протокол: 192.168.1.168, Порт: 2177, Тип соединения: UDP
2024-03-09 03:37:42,877 - TeaMonitor Computer Network Activity -INFO - Соединение 121: Имя процесса: System, PID: 4, Протокол: 0.0.0.0, Порт: 50128, Тип соединения: TCP
2024-03-09 03:37:42,881 - TeaMonitor Computer Network Activity -INFO - Соединение 122: Имя процесса: svchost.exe, PID: 2760, Протокол: 0.0.0.0, Порт: 49667, Тип соединения: TCP
2024-03-09 03:37:42,881 - TeaMonitor Computer Network Activity -INFO - Соединение 123: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 27060, Тип соединения: TCP
2024-03-09 03:37:42,881 - TeaMonitor Computer Network Activity -INFO - Соединение 124: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54557, Тип соединения: TCP
2024-03-09 03:37:42,885 - TeaMonitor Computer Network Activity -INFO - Соединение 125: Имя процесса: System, PID: 4, Протокол: 0.0.0.0, Порт: 50131, Тип соединения: TCP
2024-03-09 03:37:42,889 - TeaMonitor Computer Network Activity -INFO - Соединение 126: Имя процесса: svchost.exe, PID: 2496, Протокол: ::, Порт: 55362, Тип соединения: UDP
2024-03-09 03:37:42,895 - TeaMonitor Computer Network Activity -INFO - Соединение 127: Имя процесса: ss_conn_service2.exe, PID: 4784, Протокол: 127.0.0.1, Порт: 50912, Тип соединения: TCP
2024-03-09 03:37:42,895 - TeaMonitor Computer Network Activity -INFO - Соединение 128: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54573, Тип соединения: TCP
2024-03-09 03:37:42,896 - TeaMonitor Computer Network Activity -INFO - Соединение 129: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54575, Тип соединения: TCP
2024-03-09 03:37:42,896 - TeaMonitor Computer Network Activity -INFO - Соединение 130: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54566, Тип соединения: TCP
2024-03-09 03:37:42,896 - TeaMonitor Computer Network Activity -INFO - Соединение 131: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54564, Тип соединения: TCP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 132: Имя процесса: svchost.exe, PID: 9272, Протокол: ::, Порт: 7680, Тип соединения: TCP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 133: Имя процесса: steam.exe, PID: 8548, Протокол: 127.0.0.1, Порт: 60682, Тип соединения: TCP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 134: Имя процесса: Discord.exe, PID: 19416, Протокол: 127.0.0.1, Порт: 6463, Тип соединения: TCP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 135: Имя процесса: browser.exe, PID: 16296, Протокол: 0.0.0.0, Порт: 5353, Тип соединения: UDP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 136: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54565, Тип соединения: TCP
2024-03-09 03:37:42,901 - TeaMonitor Computer Network Activity -INFO - Соединение 137: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 61364, Тип соединения: TCP
2024-03-09 03:37:42,905 - TeaMonitor Computer Network Activity -INFO - Соединение 140: Имя процесса: System, PID: 4, Протокол: ::, Порт: 50131, Тип соединения: TCP
2024-03-09 03:37:42,905 - TeaMonitor Computer Network Activity -INFO - Соединение 141: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 6942, Тип соединения: TCP
2024-03-09 03:37:42,906 - TeaMonitor Computer Network Activity -INFO - Соединение 142: Имя процесса: steamwebhelper.exe, PID: 2432, Протокол: 127.0.0.1, Порт: 49794, Тип соединения: TCP
2024-03-09 03:37:42,906 - TeaMonitor Computer Network Activity -INFO - Соединение 143: Имя процесса: Y.Music.exe, PID: 18276, Протокол: 192.168.1.168, Порт: 56862, Тип соединения: TCP
2024-03-09 03:37:42,910 - TeaMonitor Computer Network Activity -INFO - Соединение 144: Имя процесса: svchost.exe, PID: 14332, Протокол: 0.0.0.0, Порт: 123, Тип соединения: UDP
2024-03-09 03:37:42,914 - TeaMonitor Computer Network Activity -INFO - Соединение 145: Имя процесса: svchost.exe, PID: 1616, Протокол: 0.0.0.0, Порт: 135, Тип соединения: TCP
2024-03-09 03:37:42,914 - TeaMonitor Computer Network Activity -INFO - Соединение 146: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54531, Тип соединения: TCP
2024-03-09 03:37:42,919 - TeaMonitor Computer Network Activity -INFO - Соединение 147: Имя процесса: System, PID: 4, Протокол: ::, Порт: 50128, Тип соединения: TCP
2024-03-09 03:37:42,933 - TeaMonitor Computer Network Activity -INFO - Соединение 148: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54548, Тип соединения: TCP
2024-03-09 03:37:42,933 - TeaMonitor Computer Network Activity -INFO - Соединение 149: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54554, Тип соединения: TCP
2024-03-09 03:37:42,933 - TeaMonitor Computer Network Activity -INFO - Соединение 150: Имя процесса: msedge.exe, PID: 18992, Протокол: 192.168.1.168, Порт: 65015, Тип соединения: TCP
2024-03-09 03:37:42,933 - TeaMonitor Computer Network Activity -INFO - Соединение 151: Имя процесса: pycharm64.exe, PID: 20984, Протокол: 127.0.0.1, Порт: 54572, Тип соединения: TCP
